date,experiment,incubation,light.dark,treatment,flume,core,replicate,channel,analyte,time,depth,mV,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:18,-999,6.57,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:18,-498,6.51,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:19,2,6.36,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:20,502,6.32,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:20,1000,6.28,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:21,1501,6.24,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:22,2001,6.16,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:22,2501,6.27,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:23,3000,6.44,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:24,3500,6.56,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:24,4000,6.64,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:25,4499,6.73,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:26,4999,6.76,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:26,5499,6.56,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:27,5998,6.41,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:28,6498,6.36,
11/06/2024,Mangrove_2,NO3,Dark,0,1,1,1,4,N2O,2024-06-11 5:28,6998,6.37,
