"experiment","date","light_dark","treatment","flume","core","channel","analyte","date_time","depth","mV","corrected_mV","final_concentration","adjusted_value"
"Mangrove_13",2024-08-21,"Dark","0","2","1","1","O2",2024-08-21 10:46:00,5000,4.741749763,4.741749763,-2.42652849522931,-0.0283288884063047
"Mangrove_13",2024-08-21,"Dark","0","2","3","1","O2",2024-08-21 11:26:00,5000,4.70243454,4.70243454,-2.5832319098174,0.0688842514046639
"Mangrove_13",2024-08-21,"Dark","0","1","1","1","O2",2024-08-21 09:50:00,4800,4.646952152,4.646952152,-2.80437473912557,-0.304774368763677
"Mangrove_13",2024-08-21,"Dark","0","1","3","1","O2",2024-08-21 10:24:00,4600,4.706912041,4.706912041,-2.56538539536366,0.175104904033875
"Mangrove_13",2024-08-21,"Dark","0","2","2","1","O2",2024-08-21 11:11:00,4600,4.791848183,4.791848183,-2.22684519495988,-0.0265474021008427
"Mangrove_13",2024-08-21,"Dark","0","3","1","1","O2",2024-08-21 11:41:00,4600,4.674646854,4.674646854,-2.69398863322965,-0.0491694594080672
"Mangrove_13",2024-08-21,"Dark","0","1","2","1","O2",2024-08-21 10:03:00,4400,4.745718479,4.745718479,-2.41070990636539,-0.0587458843033901
"Mangrove_13",2024-08-21,"Dark","0","2","1","1","O2",2024-08-21 10:45:00,4400,4.762431145,4.762431145,-2.34409622267675,0.0541033841462579
"Mangrove_13",2024-08-21,"Dark","0","2","3","1","O2",2024-08-21 11:25:00,4400,4.615707874,4.615707874,-2.92890881715788,-0.27679265593581
"Mangrove_13",2024-08-21,"Dark","0","3","2","1","O2",2024-08-21 11:54:00,4400,4.752898216,4.752898216,-2.38209276476239,0.217316945346123
"Mangrove_13",2024-08-21,"Dark","0","3","3","1","O2",2024-08-21 12:07:00,4400,4.719748974,4.719748974,-2.51421968700844,0.00626306959615919
"Mangrove_13",2024-08-21,"Dark","0","1","1","1","O2",2024-08-21 09:49:00,4200,4.731738091,4.731738091,-2.46643322089081,0.0331671494710761
"Mangrove_13",2024-08-21,"Dark","0","3","1","1","O2",2024-08-21 11:40:00,4000,4.671408176,4.671408176,-2.70689742180122,-0.0620782479796418
"Mangrove_13",2024-08-21,"Dark","0","1","2","1","O2",2024-08-21 10:02:00,3800,4.743677616,4.743677616,-2.41884441957434,-0.0668803975123429
"Mangrove_13",2024-08-21,"Dark","0","1","3","1","O2",2024-08-21 10:23:00,3800,4.641660213,4.641660213,-2.82546745710638,-0.084977157708849
"Mangrove_13",2024-08-21,"Dark","0","2","1","1","O2",2024-08-21 10:44:00,3800,4.742390633,4.742390633,-2.42397410256296,-0.0257744957399528
"Mangrove_13",2024-08-21,"Dark","0","2","2","1","O2",2024-08-21 11:10:00,3800,4.780277729,4.780277729,-2.27296294558626,-0.0726651527272222
"Mangrove_13",2024-08-21,"Dark","0","3","2","1","O2",2024-08-21 11:53:00,3800,4.665930748,4.665930748,-2.72872946560676,-0.129319755498249
"Mangrove_13",2024-08-21,"Dark","0","3","3","1","O2",2024-08-21 12:06:00,3800,4.716763496,4.716763496,-2.52611926587583,-0.00563650927123094
